GEO_ID,GEO_ID2,tract20,tract20_nbhd
1400000US25025051200,25025051200,"Census Tract 512, Suffolk County, Massachusetts",East Boston
1400000US25025060101,25025060101,"Census Tract 601.01, Suffolk County, Massachusetts",South Boston
1400000US25025060200,25025060200,"Census Tract 602, Suffolk County, Massachusetts",South Boston
1400000US25025060301,25025060301,"Census Tract 603.01, Suffolk County, Massachusetts",South Boston
1400000US25025060400,25025060400,"Census Tract 604, Suffolk County, Massachusetts",South Boston
1400000US25025060501,25025060501,"Census Tract 605.01, Suffolk County, Massachusetts",South Boston
1400000US25025060601,25025060601,"Census Tract 606.01, Suffolk County, Massachusetts",South Boston
1400000US25025060602,25025060602,"Census Tract 606.02, Suffolk County, Massachusetts",South Boston Waterfront
1400000US25025060603,25025060603,"Census Tract 606.03, Suffolk County, Massachusetts",South Boston Waterfront
1400000US25025060604,25025060604,"Census Tract 606.04, Suffolk County, Massachusetts",South Boston Waterfront
1400000US25025060700,25025060700,"Census Tract 607, Suffolk County, Massachusetts",South Boston
1400000US25025060800,25025060800,"Census Tract 608, Suffolk County, Massachusetts",South Boston
1400000US25025061000,25025061000,"Census Tract 610, Suffolk County, Massachusetts",South Boston
1400000US25025061101,25025061101,"Census Tract 611.01, Suffolk County, Massachusetts",South Boston
1400000US25025061201,25025061201,"Census Tract 612.01, Suffolk County, Massachusetts",South Boston
1400000US25025061202,25025061202,"Census Tract 612.02, Suffolk County, Massachusetts",South Boston
1400000US25025061203,25025061203,"Census Tract 612.03, Suffolk County, Massachusetts",South Boston
1400000US25025061204,25025061204,"Census Tract 612.04, Suffolk County, Massachusetts",South Boston Waterfront
1400000US25025070102,25025070102,"Census Tract 701.02, Suffolk County, Massachusetts",Downtown
1400000US25025070103,25025070103,"Census Tract 701.03, Suffolk County, Massachusetts",Chinatown
1400000US25025070104,25025070104,"Census Tract 701.04, Suffolk County, Massachusetts",Downtown
1400000US25025070201,25025070201,"Census Tract 702.01, Suffolk County, Massachusetts",Downtown
1400000US25025070202,25025070202,"Census Tract 702.02, Suffolk County, Massachusetts",Chinatown
1400000US25025070301,25025070301,"Census Tract 703.01, Suffolk County, Massachusetts",South End
1400000US25025070302,25025070302,"Census Tract 703.02, Suffolk County, Massachusetts",South End
1400000US25025070402,25025070402,"Census Tract 704.02, Suffolk County, Massachusetts",South End
1400000US25025070501,25025070501,"Census Tract 705.01, Suffolk County, Massachusetts",South End
1400000US25025070502,25025070502,"Census Tract 705.02, Suffolk County, Massachusetts",South End
1400000US25025070600,25025070600,"Census Tract 706, Suffolk County, Massachusetts",South End
1400000US25025070700,25025070700,"Census Tract 707, Suffolk County, Massachusetts",South End
1400000US25025070801,25025070801,"Census Tract 708.01, Suffolk County, Massachusetts",Roxbury
1400000US25025070802,25025070802,"Census Tract 708.02, Suffolk County, Massachusetts",South End
1400000US25025070901,25025070901,"Census Tract 709.01, Suffolk County, Massachusetts",Roxbury
1400000US25025070902,25025070902,"Census Tract 709.02, Suffolk County, Massachusetts",South End
1400000US25025071101,25025071101,"Census Tract 711.01, Suffolk County, Massachusetts",South End
1400000US25025071201,25025071201,"Census Tract 712.01, Suffolk County, Massachusetts",South End
1400000US25025080100,25025080100,"Census Tract 801, Suffolk County, Massachusetts",Roxbury
1400000US25025080300,25025080300,"Census Tract 803, Suffolk County, Massachusetts",Roxbury
1400000US25025080401,25025080401,"Census Tract 804.01, Suffolk County, Massachusetts",Roxbury
1400000US25025080500,25025080500,"Census Tract 805, Suffolk County, Massachusetts",Roxbury
1400000US25025080601,25025080601,"Census Tract 806.01, Suffolk County, Massachusetts",Roxbury
1400000US25025080801,25025080801,"Census Tract 808.01, Suffolk County, Massachusetts",Mission Hill
1400000US25025080900,25025080900,"Census Tract 809, Suffolk County, Massachusetts",Mission Hill
1400000US25025081001,25025081001,"Census Tract 810.01, Suffolk County, Massachusetts",Mission Hill
1400000US25025081101,25025081101,"Census Tract 811.01, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025081102,25025081102,"Census Tract 811.02, Suffolk County, Massachusetts",Mission Hill
1400000US25025081200,25025081200,"Census Tract 812, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025081301,25025081301,"Census Tract 813.01, Suffolk County, Massachusetts",Jamaica Plain
1400000US25025081302,25025081302,"Census Tract 813.02, Suffolk County, Massachusetts",Roxbury
1400000US25025081400,25025081400,"Census Tract 814, Suffolk County, Massachusetts",Roxbury
1400000US25025081500,25025081500,"Census Tract 815, Suffolk County, Massachusetts",Roxbury
1400000US25025081700,25025081700,"Census Tract 817, Suffolk County, Massachusetts",Roxbury
1400000US25025081800,25025081800,"Census Tract 818, Suffolk County, Massachusetts",Roxbury
1400000US25025081900,25025081900,"Census Tract 819, Suffolk County, Massachusetts",Roxbury
1400000US25025082000,25025082000,"Census Tract 820, Suffolk County, Massachusetts",Roxbury
1400000US25025082100,25025082100,"Census Tract 821, Suffolk County, Massachusetts",Roxbury
1400000US25025090100,25025090100,"Census Tract 901, Suffolk County, Massachusetts",Dorchester
1400000US25025090200,25025090200,"Census Tract 902, Suffolk County, Massachusetts",Dorchester
1400000US25025090300,25025090300,"Census Tract 903, Suffolk County, Massachusetts",Dorchester
1400000US25025090400,25025090400,"Census Tract 904, Suffolk County, Massachusetts",Roxbury
1400000US25025090600,25025090600,"Census Tract 906, Suffolk County, Massachusetts",Roxbury
1400000US25025090700,25025090700,"Census Tract 907, Suffolk County, Massachusetts",Dorchester
1400000US25025090901,25025090901,"Census Tract 909.01, Suffolk County, Massachusetts",Dorchester
1400000US25025091001,25025091001,"Census Tract 910.01, Suffolk County, Massachusetts",Dorchester
1400000US25025091100,25025091100,"Census Tract 911, Suffolk County, Massachusetts",Dorchester
1400000US25025091200,25025091200,"Census Tract 912, Suffolk County, Massachusetts",Dorchester
1400000US25025091300,25025091300,"Census Tract 913, Suffolk County, Massachusetts",Dorchester
1400000US25025091400,25025091400,"Census Tract 914, Suffolk County, Massachusetts",Dorchester
1400000US25025091500,25025091500,"Census Tract 915, Suffolk County, Massachusetts",Dorchester
1400000US25025091600,25025091600,"Census Tract 916, Suffolk County, Massachusetts",Dorchester
1400000US25025091700,25025091700,"Census Tract 917, Suffolk County, Massachusetts",Dorchester
1400000US25025091800,25025091800,"Census Tract 918, Suffolk County, Massachusetts",Dorchester
1400000US25025091900,25025091900,"Census Tract 919, Suffolk County, Massachusetts",Dorchester
1400000US25025092000,25025092000,"Census Tract 920, Suffolk County, Massachusetts",Dorchester
1400000US25025092101,25025092101,"Census Tract 921.01, Suffolk County, Massachusetts",Dorchester
1400000US25025092200,25025092200,"Census Tract 922, Suffolk County, Massachusetts",Dorchester
1400000US25025092300,25025092300,"Census Tract 923, Suffolk County, Massachusetts",Dorchester
